origin,destination,distance,duration,elevation_change
EL-03,CH-05,2.16858479,20.3166666667,-52.9468193054
EL-03,CH-06,2.201517453,19.7833333333,-52.6640787125
EL-03,CH-07,2.59111707,22.6666666667,-52.6484451294
EL-03,CH-08,2.34878238,19.75,-52.6063041687
EL-03,CH-09,2.23072189,22.1833333333,-52.5078582764
EL-03,CH-12,2.010135185,19.3166666667,-52.4193382263
EL-03,CH-15,1.826209369,18.3833333333,-51.683807373
EL-03,DPD-01,1.108525864,7.45,-51.4859042168
EL-03,DPD-03,4.736711133,30.5666666667,-51.4517192841
EL-03,EL-01,0.622613742,3.36666666667,-51.3064079285
EL-03,CBD-05,2.53519368,21.7166666667,-51.0795497894
EL-03,CD-01,3.366588078,28.5166666667,-51.0564422607
EL-03,CBD-04,2.134409385,18.9833333333,-50.8817577362
EL-05,BT-01,3.301344123,23.6166666667,-50.6693305969
EL-05,BT-03,3.650554625,25.1166666667,-50.6219863892
EL-05,BT-04,3.191361456,20.5166666667,-50.5988445282
EL-05,BT-05,3.549892523,25.6333333333,-50.5917282104
EL-05,CBD-13,3.28083888,24.7833333333,-50.200717926
EL-05,CBD-03,3.211866699,24.0666666667,-50.1681289673
EL-05,CBD-07,4.002250611,31.9333333333,-50.1330337524
EL-05,CBD-06,3.624457043,26.6333333333,-49.9946212769
EL-05,CH-01,2.834073131,22.55,-49.4605331421
EL-05,CH-02,2.444473514,19.4666666667,-49.0883636475
EL-05,CH-03,2.033747283,15.9666666667,-48.8423805237
EL-05,CH-05,2.785606193,22.5666666667,-48.6410064697
EL-05,CH-06,2.818538856,21.9333333333,-48.6076583862
EL-05,CH-07,3.208138473,24.9166666667,-48.3444976807
EL-05,CH-08,2.965803783,21.9,-48.2521514893
EL-05,CH-09,2.949648137,22.25,-47.7670898438
EL-05,CH-12,2.648283202,20.0833333333,-47.7171325684
EL-05,CH-15,2.443230772,20.5333333333,-46.9909172058
EL-05,DPD-01,2.36742351,14.3,-46.9646644592
EL-05,DPD-03,3.433074775,21.15,-46.7052688599
EL-05,EL-01,1.881511388,10.2,-46.6142139435
EL-05,EL-03,1.285616599,7.03333333333,-46.5028038025
EL-05,CBD-05,3.794091326,28.55,-46.1164741516
EL-05,CD-01,3.955026415,27.3666666667,-45.9290962219
EL-05,CBD-04,3.393307031,25.8333333333,-45.6841087341
FH-01,BT-01,1.765936382,13.15,-45.5209960938
FH-01,BT-03,1.771528721,12.5,-45.457023859
FH-01,BT-04,1.169420222,7.78333333333,-45.1978495121
FH-01,BT-05,1.352103296,12.0166666667,-45.0546531677
FH-01,CBD-13,1.040796425,7.78333333333,-44.828212738
FH-01,CBD-03,0.685993584,4.48333333333,-44.6222877502
FH-01,CBD-07,0.486533493,5.16666666667,-44.4277801514
FH-01,CBD-06,0.784170202,6.01666666667,-44.4035625458
FH-01,CH-01,0.940134323,6.68333333333,-43.771648407
FH-01,CH-02,1.166313367,9.5,-43.7076761723
FH-01,CH-03,1.449658543,10.6333333333,-43.6899337769
FH-01,CH-05,1.432260155,12.3666666667,-43.6516075134
FH-01,CH-06,1.094234331,8.93333333333,-43.5645403862
FH-01,CH-07,1.105419009,10.7666666667,-43.3053660393
FH-01,CH-08,0.822073833,6.91666666667,-42.7771644592
FH-01,CH-09,0.746266571,5.51666666667,-42.7104663849
FH-01,CH-12,0.679158503,4.86666666667,-42.6971740723
FH-01,CH-15,1.484455319,11.5666666667,-42.3447990417
FH-01,DPD-01,1.600651696,11.1,-42.3123397827
FH-01,DPD-03,6.581561632,42.4666666667,-41.8151926994
FH-01,EL-01,1.821238401,12.7666666667,-41.6778373718
FH-01,EL-03,2.74645982,19.1333333333,-41.4594650269
FH-01,EL-05,3.436803001,21.1333333333,-40.9875147343
FH-01,CBD-05,0.720168989,6.51666666667,-40.9210166931
FH-01,CD-01,0.871162142,6.31666666667,-40.7192802429
FH-01,CBD-04,0.738188748,4.68333333333,-40.3568382263
FH-04,BT-01,2.324548911,17.4166666667,-40.2808027267
FH-04,BT-03,2.329519879,16.7666666667,-40.0216283798
FH-04,BT-04,1.731139606,12.0333333333,-39.9278297424
FH-04,BT-05,1.910094454,16.2833333333,-39.8753318787
FH-04,CBD-13,1.599408954,12.0833333333,-39.4783344269
FH-04,CBD-03,1.266975469,9.98333333333,-39.1646387577
FH-04,CBD-07,1.565233549,11.5166666667,-39.0950312614
FH-04,CBD-06,1.364530716,11.5166666667,-39.0762863159
FH-04,CH-01,1.075593201,8.18333333333,-38.89894104
FH-04,CH-02,1.095477073,8.4,-38.6807184219
FH-04,CH-03,1.400570234,9.61666666667,-38.5988006592
FH-04,CH-05,0.988601261,8.7,-38.5814399719
FH-04,CH-06,0.650575437,5.51666666667,-38.2234115601
FH-04,CH-07,0.661760115,7.1,-37.9961206913
FH-04,CH-08,0.498960913,4.5,-37.6029968262
FH-04,CH-09,0.687857697,6.03333333333,-37.5369796753
FH-04,CH-12,0.902852063,6.86666666667,-37.3973741531
FH-04,CH-15,1.03768957,8.2,-37.2721552849
FH-04,DPD-01,2.159885596,15.15,-37.1381998062
FH-04,DPD-03,6.036619265,36.6,-36.9756317139
FH-04,EL-01,2.139380353,14.4,-36.8704767227
FH-04,EL-03,2.670031187,18.4166666667,-36.8494529724
FH-04,EL-05,3.360374368,20.4166666667,-36.6223680973
FH-04,FH-01,0.552398819,6.25,-36.1900026798
FH-04,CBD-05,1.971610183,13.3833333333,-36.1465034485
FH-04,CD-01,0.499582284,2.75,-36.1144571304
FH-04,CBD-04,1.319170633,10.1833333333,-36.1036372185
ID-04,BT-01,1.9883872,18.9333333333,-35.9582366943
ID-04,BT-03,1.993358168,18.2833333333,-35.8502845764
ID-04,BT-04,1.637933956,16.0833333333,-35.811293602
ID-04,BT-05,1.829316224,17.0333333333,-35.7876319885
ID-04,CBD-13,1.208566595,13.8166666667,-35.7749786377
ID-04,CBD-03,1.153264576,13.4666666667,-35.6649971008
ID-04,CBD-07,0.50331051,5.63333333333,-35.3534393311
ID-04,CBD-06,0.864327061,9.16666666667,-35.3155596256
ID-04,CH-01,2.261169069,20.1833333333,-35.267999649
ID-04,CH-02,2.281052941,20.4166666667,-35.2594909668
ID-04,CH-03,2.586146102,21.6333333333,-35.1996421814
ID-04,CH-05,2.173555758,20.7166666667,-34.7891025543
ID-04,CH-06,1.836151305,17.5333333333,-34.7298846245
ID-04,CH-07,1.846714612,19.1166666667,-34.5393869877
ID-04,CH-08,1.684536781,16.5,-34.5299282074
