origin,destination,distance,duration,elevation_change
BT-05,SLU-16,0.891667385,8.08333333333,-4.46950912476
BT-05,CBD-06,0.638769388,4.11666666667,18.9779815674
BT-05,CH-01,1.458979108,13.9166666667,-37.9796524048
BT-05,CH-02,1.913201309,18.55,-59.3555374146
BT-05,CH-03,1.790791222,16.7333333333,-40.2571411133
BT-05,CH-05,2.179769468,21.25,-84.0161361694
BT-05,CH-06,1.841743644,17.8166666667,-62.5915908813
BT-05,CH-07,1.852928322,19.65,-80.2179031372
BT-05,CH-08,1.569583146,15.8,-50.9723129272
BT-05,CH-09,1.388764185,14.1,-48.2411575317
BT-05,CH-12,1.16817748,11.2166666667,-27.2381515503
BT-05,CH-15,2.228857777,20.5,-73.7805709839
BT-05,DPD-01,0.904716176,6.65,31.7479019165
BT-05,DPD-03,7.53101652,44.5,22.929977417
BT-05,EL-01,1.423560961,10.9166666667,35.267999649
BT-05,EL-03,2.028776315,15.4,35.6649971008
BT-05,EL-05,3.051552981,20.8666666667,24.0682563782
BT-05,FH-01,1.316685149,13.4166666667,-53.3118896484
BT-05,FH-04,1.897667034,17.7833333333,-41.3189620972
BT-05,ID-04,1.385035959,12.4666666667,27.8810501099
BT-05,PS-05,1.196760546,9.8,32.6601419449
BT-05,PS-04,1.094234331,8.9,36.1465034485
BT-05,SLU-01,1.022155295,9.03333333333,5.67195510864
BT-05,SLU-02,1.133380704,9.1,25.8542575836
BT-05,SLU-04,0.902852063,7.06666666667,31.9041223526
BT-05,SLU-07,0.55302019,4.66666666667,23.6436061859
BT-05,SLU-15,0.564204868,5.9,12.6896781921
BT-05,SLU-17,1.202974256,9.23333333333,35.811293602
BT-05,SLU-18,0.477212928,4.15,10.3648452759
BT-05,SLU-19,1.089263363,7.73333333333,6.44812774658
BT-05,UD-01,6.577212035,37.4666666667,29.3730773926
BT-05,UD-02,5.292216807,32.9833333333,-2.72016143799
BT-05,UD-04,4.95232687,30.35,14.4396858215
BT-05,UD-07,5.71039949,37.0333333333,-21.1321258545
BT-05,UW-01,5.947141841,37.0,-12.3908729553
BT-05,UW-02,5.569348273,37.2333333333,-20.2792510986
BT-05,UW-04,5.191554705,32.15,9.73748016357
BT-05,UW-06,5.535794239,33.9666666667,4.79751205444
BT-05,UW-07,5.706671264,33.6833333333,28.3284072876
